what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1329579997780
java.specification.name,sysinfo,,,"Java Platform API Specification",1329579997780
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329579997780
java.specification.version,sysinfo,,,"1.6",1329579997780
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1329579997780
java.version,sysinfo,,,"1.6.0_23",1329579997780
java.vm.info,sysinfo,,,"mixed mode, sharing",1329579997780
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1329579997780
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1329579997780
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1329579997780
java.vm.specification.version,sysinfo,,,"1.0",1329579997780
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1329579997780
java.vm.version,sysinfo,,,"19.0-b09",1329579997780
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.100.v201004202202,"org.eclipse.jst.common.project.facet.core",1329579997836
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.0.v201005191955,"org.eclipse.jst.ws.jaxrs.core",1329579997838
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329580005248
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329580006498
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329580017341
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329580195338
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329580206776
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329580208119
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329580209637
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329580290605
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1329580294120
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1329580294158
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1329580294171
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1329580294261
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1329580294298
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1329580294479
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1329580294529
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1329580294932
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1329580294934
started,bundle,org.eclipse.wst.xsd.core,1.1.501.v201004110600,"org.eclipse.wst.xsd.core",1329580295161
started,bundle,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.ui",1329580295165
started,bundle,org.eclipse.jst.jsp.core,1.2.300.v201005271731,"org.eclipse.jst.jsp.core",1329580295203
started,bundle,org.eclipse.xsd,2.6.0.v20100614-1136,"org.eclipse.xsd",1329580295220
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1329580295310
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1329580295617
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1329580295680
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1329580295741
started,bundle,org.eclipse.wst.xsl.ui,1.1.0.v201004290328,"org.eclipse.wst.xsl.ui",1329580295773
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1329580295833
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1329580296125
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1329580296179
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1329580296742
